Created at,Shop,Product category,Description,Billed amount,Billed currency,Bill number,Bill date,Cycle start,Cycle end,App name
2025-07-13T16:16:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.65,USD,390558093,2025-07-13,2025-07-13,2025-07-13,
2025-07-13T16:16:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.29,USD,390558093,2025-07-13,2025-07-13,2025-07-13,
2025-07-13T16:16:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,390558093,2025-07-13,2025-07-13,2025-07-13,
2025-07-07T15:07:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-07,2025-07-07,
2025-07-07T15:05:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-07,2025-07-07,
2025-07-07T13:17:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-07,2025-07-07,
2025-07-07T13:16:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-07,2025-07-07,
2025-07-07T13:15:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-07,2025-07-07,
2025-07-06T23:40:31Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,390558093,2025-07-13,2025-07-06,2025-07-06,
2025-07-06T23:40:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.84,USD,390558093,2025-07-13,2025-07-06,2025-07-06,
2025-07-06T21:04:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.58,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:01Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.34,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.53,USD,387805774,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.81,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,7.67,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,10.0,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:33:00Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,8.58,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,6.53,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.21,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,3.05,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798741,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
2025-07-06T16:30:06Z,bt1hfe-te.myshopify.com,shipping_fee,Shipping fees,4.51,USD,387798675,2025-07-06,2025-07-06,2025-07-06,
